step,epoch,reward_mean,reward_std,loss,grad_norm,kl,frac_reward_zero_std,completion_mean_length,entropy,learning_rate
20,0.08,0.8799999810755252,0.13754255473613738,0.0327,0.6199790239334106,,0.55,74.4125,0.7316769700497389,1.2666666666666665e-06
40,0.16,0.884374988079071,0.19998996406793595,-0.0038,0.0,,0.45,71.3625,0.6531095342710614,1.99981502769439e-06
60,0.23,0.7869999885559082,0.30063884556293485,0.0885,0.500365138053894,,0.15,79.6125,0.7697119526565075,1.9980800405527123e-06
80,0.31,0.9457499712705613,0.0743431106209755,0.038,0.0,,0.7,69.4125,0.6362269468605518,1.994521895368273e-06
100,0.39,0.8733249738812446,0.1881573274731636,0.0435,0.7279453873634338,,0.45,69.85,0.6170354567468166,1.989147091680936e-06
120,0.47,0.9098999798297882,0.14054583758115768,0.0249,0.5398080348968506,,0.65,67.8125,0.6065027777105569,1.9819654474573694e-06
140,0.55,0.9186499804258347,0.1387000009417534,0.011,0.5746686458587646,,0.6,76.275,0.685008859820664,1.9729900811569102e-06
160,0.62,0.9309999778866768,0.09312110096216202,0.0597,0.9578475952148438,,0.7,69.025,0.6451169177889824,1.962237387768529e-06
180,0.7,0.9608499795198441,0.05430000126361847,0.0228,0.0,,0.85,70.6875,0.7121790040284395,1.949727008862677e-06
200,0.78,0.9143249779939652,0.13966341465711593,-0.0412,0.7001792788505554,,0.65,68.975,0.7044953329488635,1.935481796712713e-06
220,0.86,0.9457999765872955,0.07003658711910248,0.0353,0.0,,0.75,69.6125,0.6417785070836544,1.9195277725514506e-06
240,0.94,0.9489249795675277,0.07298464104533195,0.042,0.0,,0.75,68.3,0.6197523921728134,1.9018940790390795e-06
260,1.02,0.9836249738931656,0.008749999105930328,0.0277,0.7286654710769653,,0.95,68.2,0.6001958958804607,1.8826129270292834e-06
280,1.09,0.972424978017807,0.03114999830722809,0.0023,0.0,,0.85,70.825,0.6464869054034352,1.8617195367307949e-06
300,1.17,0.9790999740362167,0.01753537803888321,-0.0025,0.0,,0.85,78.7125,0.6699430417269469,1.8392520733718682e-06
320,1.25,0.9508999794721603,0.0742000013589859,0.0159,0.0,,0.8,70.0,0.5902390761300922,1.8152515774851845e-06
340,1.33,0.9477749735116958,0.08044999837875366,0.01,0.0,,0.75,73.9,0.6759724972769618,1.7897618899405421e-06
360,1.41,0.931824979186058,0.11235000193119049,-0.0086,0.0,,0.75,76.5875,0.6620632516220212,1.7628295718622663e-06
380,1.48,0.9545499742031097,0.06689999997615814,0.0191,0.8819422721862793,,0.8,73.9375,0.6577312165871263,1.734503819577625e-06
400,1.56,0.9143249779939652,0.1270362287759781,0.0324,0.0,,0.7,73.575,0.630218936689198,1.7048363747516117e-06
420,1.64,0.9680499762296677,0.03989999741315842,-0.0085,0.4445047974586487,,0.8,71.5125,0.6348363125696779,1.6738814298722481e-06
440,1.72,0.9637249767780304,0.04238550886511803,0.0176,0.0,,0.85,71.525,0.6040757533162833,1.6416955292590554e-06
460,1.8,0.9712749749422074,0.03344999998807907,0.0093,0.0,,0.9,76.625,0.6345406983047723,1.608337465775513e-06
480,1.88,0.9544999748468399,0.05684311240911484,-0.002,0.0,,0.8,66.8375,0.5851489018648863,1.5738681734341854e-06
500,1.95,0.958924975991249,0.058150000870227814,0.0233,0.71141117811203,,0.85,70.4625,0.5929294297471642,1.5383506160906823e-06
520,2.03,0.9477749794721604,0.0804500013589859,0.0373,1.007220983505249,,0.8,68.9625,0.6063418168574571,1.5018496724297775e-06
540,2.11,0.9342249780893326,0.1075500026345253,0.0372,0.0,,0.75,78.1125,0.6674473498016595,1.4644320174537751e-06
560,2.19,0.9632999777793885,0.049400001764297485,0.0332,0.0,,0.9,71.8125,0.6379052318632603,1.4261660006896063e-06
580,2.27,0.9879999756813049,0.0,0.0,0.0,,1.0,71.2625,0.6238146526739001,1.387121521337128e-06
600,2.34,0.968824976682663,0.038349999487400054,0.0048,0.0,,0.85,65.1875,0.5723560117185116,1.3473699005866903e-06
620,2.42,0.9879999756813049,0.0,0.0,0.0,,1.0,68.1625,0.6047097241505981,1.3069837513392021e-06
640,2.5,0.958924975991249,0.058150000870227814,0.0075,0.6654499769210815,,0.85,67.5875,0.6002716952934861,1.266036845566675e-06
660,2.58,0.9445999741554261,0.07664311081171035,0.0324,0.7424948811531067,,0.75,65.4375,0.5693255228921771,1.2246039795555312e-06
680,2.66,0.9731999784708023,0.029600000381469725,-0.0088,0.0,,0.9,67.2125,0.6078551242128014,1.1827608372788323e-06
700,2.73,0.9545499742031097,0.05674311369657516,-0.0006,0.0,,0.85,69.1375,0.6181513871997595,1.1405838521470028e-06
720,2.81,0.9632999777793885,0.049400001764297485,0.0271,0.0,,0.9,72.1625,0.619654593244195,1.0981500673895822e-06
740,2.89,0.9688749760389328,0.03824999928474426,-0.0233,0.0,,0.9,63.7125,0.6215309638530016,1.0555369953230399e-06
760,2.97,0.9756499767303467,0.024700000882148743,-0.0032,0.0,,0.95,69.1375,0.57682488784194,1.0128224757617272e-06
780,3.05,0.9768499732017517,0.02229999750852585,-0.0066,0.0,,0.9,68.6375,0.6426891289651394,9.700845338306017e-07
800,3.12,0.9712749749422074,0.03344999998807907,-0.003,0.0,,0.9,66.6,0.5746597863733769,9.274012374394465e-07
820,3.2,0.9632999777793885,0.049400001764297485,0.025,0.0,,0.9,76.6,0.6444061867892742,8.848505546789406e-07
840,3.28,0.9545499742031097,0.06689999997615814,0.0035,0.6616019010543823,,0.8,66.6375,0.6040506511926651,8.425102113990646e-07
860,3.36,0.9385999798774719,0.09880000352859497,-0.0044,0.0,,0.8,67.075,0.6071762977167964,8.004575492299959e-07
880,3.44,0.9879999756813049,0.0,0.0,0.0,,1.0,69.8125,0.5724474931135773,7.587693843048474e-07
900,3.52,0.9879999756813049,0.0,0.0,0.0,,1.0,61.475,0.5825750729069114,7.175218669423152e-07
